,Review,Detail
203,Bad Batch,"I'd been feeding this to my dog for over a year and he enjoyed it until last March 2022. When I open this latest bag, I noticed that some of the chicken chicken looked a smaller, so I just figured the processing was just cutting them smaller similar to what we are seeing in all consumer products now (increased price with smaller portions). My dog threw up 4 times within 5 minutes of completing his breakfast.  I assumed he just ate too fast.  However he three up the same at dinner.  I tried a couple things including cutting portion size,  slowing down eatting process, removing chicken chunks, etc,.  No improvement.  Looked at AMAZON reviews to see if anyone else had experienced this besides me.  Wow.  Had to go to the Pet store to buy off the shelf."
204,Seems like good dog food,Dog food is loved by my boys shipping is highly disliked my me 😁  PROBLEM IS THAT IT IS SHIPPED USPS AND EVERY TIME THEY CLAIM ATTEMPTED DELIVERY AND SAY I HAVE TO PICK IT UP FROM USPS.. MY OFFICE FACES THE DOOR..  THEY NEVER ATTEMPT DELIVERY! I have no idea how fresh or what the flavor is but my dogs like it.  The scheduled delivery timing just doesn't work for us.
205,My dog's favorite!,"Don't know what they put in this stuff but this is my dog's favorite food. We have been rotating bags every time she finishes them, one after the other, for two years. This is the only food she goes head down into her bowl for, and licks the bowl when it's empty. Why this is significant: my dog is the least food-motivated dog I've ever known. She has no interest in food. It is not unusual for her to go 24-36 hours without eating. This food changed that pattern! She LOVES it!"
206,Dogs and the Cat Love it!,"I have a Boston pit, golden doodle and a cat who all love this dog food!  My cat is 16 years old and refuses to eat cat food after stealing Purina Pro Plan from the dogs!"
207,Vet Recommended and dog approved!,My boxador was pretty picky when it came down to trying different types of dog food. We tried several types with the same results. Any unhappy dog. I asked my sister who is a veterinarian and she highly recommended this brand food. The price is a little higher however think about the food you eat. Would you want to eat a cheap hamburger or would you pay slightly more for a better steak? The food doesn't have a terrible smell or look. My dog absolutely loves it.  There is no need to pay the big bucks for the brands you always see advertised. They are well known only because they put money out to advertise.  With Purina pro plan you will get exactly what you pay for..Quality!
208,All dogs that come to my house live it,My dogs love it
209,It's great healthy food!,"It's the best dog food out there!! I've raised 4 dogs on this food with no skin issues, no potty issues, no coat issues and no weight issues. I highly recommend this product."
210,My Dogs Love It,"One of my dogs was a very picky eater who had been on a prescription diet for most of his life. When he was cleared for regular food at last, I went through many varieties, hoping to find one he would actually eat, including some very expensive specialty foods. After a day or two he would turn up his nose at them, until I found ProPlan, which he clearly loved, as did my two hounds (although with basset hounds, it is unusual to find any food they don't enjoy!)I was very happy to find I could buy it for monthly delivery, rather than having to schlepp to the store every couple of weeks for a new bag! My vet, who always asks what I am feeding my pets, told me she approved of ProPlan, as well, which made me feel good about feeding it."
211,Would buy again,Would buy again!
212,Good quality,My fur babies have done very well with this food.Highly recommend!
213,... the Iams I had been using and my dogs loved it. I have a giant dog and a ...,I got this when Amazon was out of the Iams I had been using and my dogs loved it.  I have a giant dog and a petite dog and both really seem to like the food.  I have seen no evidence of waste as you would see using a cheap food with a giant dog.  I highly recommend it.Absolutely no evidence of any bug infestations as I have read in some reviews.Update.  After another price increase I have gone back to Iams.  My dogs never had any problems with the Pro Plan but it now costs about $15 more than Iams and my dogs eat the Iams just fine.
214,"Yummy for Four Tummies, one ""sensitive""","Taste of Wild or Purina ProPlan Chicken are Both are equally loved by 2 female chihuahuas, male dachshund, and the chi-weenie baby of the younger chi and dachshund.  I find a slight pref for this one among all 4.  We even get a bit if growling between the 2 chi females when dinner is served. My male has a sensitive stomach which has 3 pancreatic flare ups and a few grand in overnight vet stays and tolerates this and tow wonderfully.  I'm recording our 3rd 35lb bag so everyone loves it.  Funny aside..there are some larger morsels that must taste better than the others b/c the 2 female chi eat around the bowl and pick these out first."
215,We had been shopping around for a dog food that would be good for them and that they liked,"We bought this dog food for our two medium sized dogs. We had been shopping around for a dog food that would be good for them and that they liked. We also needed a big enough bag that it would last them. We bought the biggest bag that they have, and we also made it a subscription so that it comes every month! We feed them twice a day, and the bag lasts the month. We have never had any issues with the food or delivery! Our boys seem to like it a lot. They will be outside, and they'll hear us fill their bowl and be waiting by the door. They gobble it down quick, that's for sure!"
216,My dog loves Purina Pro Plan,Subscribing to have Purina Pro Plan delivered each month works out great. You get a slight discount and it’s right at my door. The product is good and my dog loves it.
217,Quality product,"I have 2 fairly large dogs and have this product delivered on a subscription.  This is the first time that when my husband opened the box and lifted out the bag, dog food fell out because there was a hole on the bottom of the bag.  My husband had to clean up the floor from the mess.  I was quite surprised since this has never happened before ."
218,Great!,My dog loves it!
219,My dog approves.,My labradoodle is picky eater but seems to like this food pretty well.  It has hard kibble and also morsels of dried chicken bits.  His vet recommended this brand and he eats it.  Win-win.
220,I no longer have a dog.,I cancelled the subscription to the food because I no longer have a dog.  The food was fine.
221,Good dog food.,My dogs coat is fantastic.  Veterinarian recommends.  Dog always eats and is in good health.
222,Great product,Read the ingredients then you automatically know it is good for your pets
223,Great dog food!,"My vet recommended this after trying every healthy and special dog food out there. Our dog kept has loose stools and other issues, and about 2 weeks on this food, his stools were already better. He’s been on this food for about 2 years now and he loves it!"
224,Made dogs sick!!!,I am not sure what’s going on but the color of this food this time around has changed and it definitely has less chicken. Not sure if I got a bad batch but 2 out of my 3 dogs are sick from eating this food for just one week!!!!
225,Good food for dogs,Giving the flavor a high mark was really just a guess overall. My dogs of different sizes are very happy with the flavor it seems like. It was an easy transition from their previous food and I haven’t seen any stomach issues.
226,Long-time customer! Very pleased!,"We have been feeding this food to our dogs for about 10 years. It was recommended by our vet when we found out our lab couldn't tolerate beef.  All of our dogs seem to enjoy this food. We have several different breeds of dogs, including a husky and a terrier mix, so it's versatile between the different breeds and sizes.  It has two textures. One is the traditional harder pellets and the other is a more natural shaped (slightly softer) piece.  Our cat would eat this if we let him!"
227,Happy Puppy!,"My dog is food-crazy and she loves this product. It keeps her tummy happy, which makes me happy too. No gas, no bloating, she's even lost some weight and is a healthy, lean, happy puppy. She's coming up on 3 years old and I will continue to purchase this dog food! I like that the pieces look like real food, and not just kibbles. Stays fresh and is always packaged well."
228,DON'T BUY,This was an Amazon's Choice product and it made my puppy terribly sick. We were about to bring her to the vet which would have cost a fortune in tests to figure out what was wrong. She was having to get up every hour in the night with diarrhea and was vomiting too.
229,My dog loves this food,"My dog has been eating only this food for the entire time we've had her, which is almost three years. She loves it, never has a problem eating it, and she is very healthy. It is also a good value."
230,Greyhounds like it.,"We have picky greyhounds so we are constantly searching for a food they will eat.  They love this food.  It was recommended by someone in an online greyhound group, so we tried it.  We have 3 greyhounds and they cleaned their bowls the first night.  They don’t always eat it at breakfast time but they have been consistently eating it for dinner.  The food is larger kibble and more than one shape."
231,A Great Dane. Bichon and Malti-Poodle love this food.,"My 3 dogs love this food.  I used to buy Purina One, Lamb with Rice from the grocery store.  My Great Dane did well on in, but my Bichon would only eat the dark morsels, leaving the light ones all over the floor. When I switched to the Chicken Pro Plan Food, I figured there might be some problems with the change.  To my surprise, the only difference is that my Bichon eats both the light and dark pieces, and I don't have to sweep the floor every day.I free-feed this food to a 10-year=old Great Dane, a 10-year=old  Bichon Frieze and a 2-year-old small Malti-Poodle. They are all indoor dogs, get no table food, and all have great teeth and breath as a result.."
232,Tasty Food My Dog Loves and Her Itching Has Decreased Significantly,"My dog loves this food. She’s been eating it for several months now. She is very happy with the combination of soft and crunchy textures. Of note, her itching has diminished drastically since on this food even though it’s not grain free. I don’t think it’s a coincidence. She’s has had a major itching problem for several years due to seasonal allergies (although she is affected year round as we live in the south) that has required prescription medication and she barely scratches now. Is it the new food? I’m not 100% sure but I will definitely keep feeding her this."
233,My Aussie loves this combo of crunchy and softer pieces together!,"I have a 4 year old, fussy mini Aussie, and she really loves this food. The combination of the crunchies with the shredded softer chicken pieces are just perfect for her. She now eats her whole meal at once, instead of picking all day, and not enjoying her food/flavor."
234,On time good product,On time and good product. Didn’t eat it myself but dogs appear to enjoy it.
235,It’s good for my Lab.,"It seems to have quite a bit of fine bits in there, otherwise my dog really loved it!"
236,Good dog food and value,"A couple of our dogs are sensitive to just about every ingredient in most dog foods.  So we've tried a lot of brands and flavors.  So far this one seems like it has been the easiest on our dogs' stomachs and they really like it.  And it is considerably cheaper than most brands we've been through.  That's a good thing, since 3 of them are over 65 pounds.  My only negative would be that the food ships in an enormous box.  They could easily shop it in a box half the size."
237,Not sure about the flavor but there you go everything else was fine LOL,I would say it was a Purina standard quality anymore it's hard to tell a lot about the extra ingredients unless you are a chemistry majorBut overall a normal Healthy dog should thrive on this Pro Plan
238,Five Stars! Very convenient!,"I can’t speak to the nutritional quality of the dog food (because I am certainly no expert). However, my dogs eat it, and I have *heard* that vets recommended this dog food to some of my friends. You really can’t beat the convenience factor, though. It is so much easier when these big bags of dog food are delivered to your front door in such a quick manner than having to go to the store yourself! The price point is great, too!"
239,Next time ask your dog what they like to eat,Whether it’s Me or my dogs but when we bought this product which is an upgrade from what they’ve been eating they won’t even touch it
240,Problems with multiple dogs vomiting once we started getting Pro Plan from Amazon. *Updated,"*Tried two more bags from Amazon, and so far haven't had the vomiting problems. However, I'm lowering my rating to one star,potentially for something out of Purinas control, but it needs to be said.I paid $29.99 per bag just a couple months ago, today it's $39.99 per bag (and I need two). Are you kidding me? This isn't sustainable for me, so I'm off to Walmart.----------------------------------I have three dogs - two 50 pounders, and a little 15 pounder. We have used Pro Plan for years, buying it from PetSmart. I got fed up with PetSmart constantly being out of it, so I checked out Pure Balance from Walmart and found it to have comparable if not better ingredients. HOWEVER, Walmart kept running out of it(!).Got more fed up with brick and mortar retailers, so I reluctantly tried Amazon for Pro Plan. Price can wildly fluctuate, but it's still the same or lower (usually) than PetSmart. And always in stock.The problem - two dogs starting vomiting. $300 worth of vet bills later, nothing was found. They got better. Now the third one is vomiting, and the other two sporadically have issues. The only common denominator is Amazon's Pro Plan food. I can't imagine Amazon gets their supply from anyone different than PetSmart, but who knows. It's not expired, the bags look fine, but it just seems too coincidental that all of the dogs (historically very healthy) start vomiting all around the same time.It's the internet, so take my feedback with a grain of salt, but I think I'm going to go back to Pure Balance from Walmart. Cheaper, and I'll just need to stock up a little better."
241,Dogs love it,Great value
242,"Formula changed a few months ago, my dogs got sick and stopped eating, my golden retriever died","My dogs have been on this food for almost 4 years. I thought about 4 months ago that only the bag design had changed and could not find anything on the formula having changed. When I opened a new bag about a 2 and 1/2 months or so ago, my dogs started vomiting after eating, then wouldn't touch the food at all. I thought it was their vitamins since I had opened a new package of that also. Then one dog (golden retriever) started leaving food in her bowl which she has never done in 10 years!! Then when both dogs stopped eating completely, I began researching and found hundreds of FB posts  (on the Purina page) and Reddit posts about other peoples dogs getting sick! This was a good brand until they changed the formula. Although I changed the food, it was too late for my golden retriever and she ended up with kidney failure within a month after I fed her that food and ended up dying last month. Since I don't have definitive proof it was the food, I can't really blame them, but I am highly suspicious since both dogs got sick at the same exact time and stayed sick until I got them onto different food."
243,My dog really likes it and it’s a good quality dog food,My 1 yr old dog just switched from puppy food to adult dog food. We tried other brands that she didn’t care for but really likes this one
244,Wrong food in bag,"The bag was labeled shredded, but it is not the shredded food. It is mislabeled. My dog won't eat it, but when she tries, she throws it up. I would appreciate another bag of the shredded food and hopefully it is correctly labeled."
245,Good food!,My dog has done really well with this food! I’ve tried many brands but she loves this one. I’ll keep buying it!
246,Something changed badly,"My 4 dogs have been on this for years. We struggled with supply issue during covid and now that it's back readily available- 2 of my 4 dogs are sick from it. They're puking, having stomach issues and are insanely itchy. I always supported this dog food but I can't after whatever they changed recently."
247,Quality product,My breeder actually recommended this food and my dog loves it.
248,My dog loved it!,My dog loved this food. She ate it and had no issues switching from puppy food to adult food.
249,which is a lot better than the stuff he used to get,"My boy loves this food, which is a lot better than the stuff he used to get.  You can see the chunks of chicken right in the food and I can see when he goes right after them first thing.  The quantity of the chicken pieces seems to be pretty good too.Can't say I've noticed any more energy or a better coat or anything after a few months being on this food, but I can tell her enjoys meal time more than he used to."
