,Review,Detail
233,This may give your dog Montezuma's revenge,My dog do like this product.
234,AMAZING,Good Value
235,Dogs like it but......,Lamb flavor
236,Dog loves ❤️,Love the benefits of blue buffalo dog food and dogs love the taste I just wish there were not as small bites even in the large breed there is tiny little kibbles
237,Rottweiler Approved,"I have two dogs and I like to change up their food so it's not the same ole same ole. I decided to buy this Blue Buffalo Life Protection Formula because it has quality ingredients but it gave my dogs the runs. To be fair the bag does say to transition your dog over to this food slowly. Well, I didn't read that part until after I noticed the dogs had Montezuma's revenge. This dog food is made with higher quality ingredients than other foods. The dogs seem to like it just fine. Just read the bag before starting off with this or you could be cleaning up some very messy poops."
238,Great food for dogs  Blue is all we ever buy. Spend a lil more to keep your pets healthy,"My dog changed. Her coat is so wonderful and shiny, sheds less. She filled out. Goes out less. Calmer. All by food? Wont shop in WM for dog food ever again AMAZING RESULTS. Worth the money for the health of my dog."
239,Fast and easy delivery,"My dogs really liked this food. We would add some warm water to it and they would munch it down. Our 2 large dogs and 4 small dogs ate the food and their fur and skin was much healthier. We had all our dogs and cats changed to BB in about Nov. so it has been almost 3 months. We now have decided to change food because our dogs and cats stopped using the potty regularly. Just a few days ago we took one cat to the vet and she had a UTI combined with swollen/inflamed bowels. Never had we had problems before, until BB. I didn't want to wait until any of my other cats or dogs got sick so we just threw out all the BB food. I had read the bad reviews here on amazon but I didn't think that such a well known brand of food could be bad. I figured the reviews were probably just lies to try and sway people to another brand, or that maybe it was just a coincidence that certain pets got sick-not because of BB. But now I saw for myself that although this food is good, it is actually too good; its not balanced which can cause issues in the animals. Do research on BB before you decide whether its the right fit for your animals."
240,My picky eater likes it.,My St Bernarn Boxer Mix loves this dog food
241,Dogs love it,"Since I rescued my Rottweiler, I changed his food to this and it has helped his coat and his weight dramatically. I have fed it to him for the last two years that I have now had him, and he is doing wonderful. I highly recommend blue buffalo"
242,Good dog food,Blue dog food is all I buy
243,Freshness,Love this dog food - and my dog loves it as well
244,Very good dog food for your animals,It’s been hard to find a food that the picky eater and the larger dog can agree upon. This seems to be a good compromise for them both.
245,Good food,Have 2 older dogs. This got them down to their correct body weight. Vet very happy & told me this is great stuff.
246,Wish it included salmon,Dog food
247,"My dog loves it, can’t vouch for the flavor (haven’t tried it)","This food is causing my dog a lot of diarrhea according to the vet, even though the food is not expired, he tells me that it must be damaged, they prescribed another type of food"
248,My dog loves it!,Have no issue with the dog food very good for your pets
249,My dog loves it.,We always feed this.
250,,"Trying to find a large breed dog food with salmon is difficult.  Our Golden seems to like this food, but he has outdoor allergies that affect his skin.  I really want to include salmon in his diet to help his skin.  We do not want grain free or break the bank on a super expensive dog food.  Not sure we will stick with this food.  We alternate among several different bags but overall we are happy with Blue Buffalo.  It would be nice if Amazon listed or posted the ingredients with percentages from the side of the bag.  Some of the Blue bags have the ingredients listed on the side of the bag and those pictures are not included for viewing."
251,,My dog loves it.
252,,"This is all we feed our dog. She never ignores the food and will eat it all. I am guessing the fact we do not feed her table scraps helps because that is the only food she will have, except for Kirkland or Milk Bone dog biscuits as treats. Our dog's poops are consistent and solid, and she has not vomited up the food at all. I could get cheaper stuff like WalMart's Ol'Roy or Pedigree, but I was sold on the ingredients and reputation of Blue Buffalo. Nutro was the only other dog food I considered, and Blue Buffalo ""won"" my research."
253,,My black lab dances for his food every day. His coat is shiny.
